strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,SHORT,2015-08-25 05:34:00-04:00,2015-08-25 06:16:00-04:00,4154.1,4161.062142705,14.806,SL,-103.08148489022523,1.8472297676978044,-104.92871465792304,-1.0492745070186433,9895.071285342077,1,ote,5m,5.670629691595435
ICT,LONG,2015-10-23 09:40:00-04:00,2015-10-23 09:54:00-04:00,4602.2,4622.0,10.524,TP,208.3752000000019,0.9707548079999999,207.4044451920019,2.096079428218847,10102.475730534079,2,equilibrium,1m,2.105890110825045
ICT,LONG,2015-10-23 10:31:00-04:00,2015-10-23 13:27:00-04:00,4600.6,4622.0,12.024,TP,257.31359999999563,1.1089254239999997,256.2046745759956,3.0430982576404455,10358.680405110075,2,equilibrium,1m,2.3803856224708277
ICT,LONG,2016-01-11 11:03:00-05:00,2016-01-11 11:05:00-05:00,4253.8,4247.53381269,17.111,SL,-107.22073106141912,2.1814587393787717,-109.40218980079788,-1.0561425858557778,10249.278215309278,1,ote,1m,2.494301100135118
ICT,SHORT,2016-01-12 03:24:00-05:00,2016-01-12 03:48:00-05:00,4272.0,4262.8,16.341,TP,150.33719999999704,1.3946716680000002,148.94252833199704,1.4532289540816188,10398.220743641275,1,ote,1m,1.4668367346938638
ICT,LONG,2016-02-19 03:01:00-05:00,2016-02-19 03:25:00-05:00,4158.6,4152.53316296,16.098,SL,-97.66394266993274,2.0064010051466017,-99.67034367507934,-1.0567097390871047,10298.550399966196,2,equilibrium,1m,1.8887787961356468
ICT,LONG,2016-06-27 05:40:00-04:00,2016-06-27 06:15:00-04:00,4245.1,4240.342872255,22.659,SL,-107.79175757396897,2.8835357918485207,-110.67529336581748,-1.074648655133093,10187.875106600379,2,equilibrium,1m,1.7381355745746316
ICT,SHORT,2016-06-30 05:39:00-04:00,2016-06-30 07:40:00-04:00,4377.5,4370.9,21.325,TP,140.74500000000776,1.8655963,138.87940370000777,1.3631639979071493,10326.754510300387,1,deep_discount,1m,1.38147566719025
ICT,SHORT,2016-09-12 11:08:00-04:00,2016-09-12 11:37:00-04:00,4723.2,4729.6596711600005,16.594,SL,-107.19178322905084,2.353447259664581,-109.54523048871542,-1.060788075816858,10217.209279811672,2,equilibrium,1m,1.6872348630928447
ICT,LONG,2018-01-02 04:33:00-05:00,2018-01-02 06:05:00-05:00,6384.6,6393.9,14.841,TP,138.0212999999892,1.896457185,136.1248428149892,1.3322800162680255,10353.33412262666,2,equilibrium,1m,1.3508410074657702
ICT,SHORT,2018-02-05 10:18:00-05:00,2018-02-05 10:21:00-05:00,6773.4,6781.11243867,14.041,SL,-108.29035136547934,2.8553250890273096,-111.14567645450666,-1.0735610327357303,10242.188446172153,1,deep_discount,1m,2.075026446415282
ICT,SHORT,2018-02-06 10:00:00-05:00,2018-02-06 10:00:00-05:00,6544.9,6551.8724772450005,15.414,SL,-107.47376425444304,3.0286421332850892,-110.50240638772813,-1.0788670551167803,10131.686039784425,2,equilibrium,1m,3.2355641168413736
ICT,SHORT,2018-04-04 11:56:00-04:00,2018-04-04 12:00:00-04:00,6435.6,6444.1577917800005,12.302,SL,-105.27795447756142,2.3772280950895515,-107.65518257265097,-1.062585717596375,10024.030857211774,1,ote,1m,1.6877944533491331
ICT,LONG,2019-02-01 03:59:00-05:00,2019-02-01 05:42:00-05:00,6873.8,6865.5829036899995,12.731,SL,-104.61185312261853,2.6232181969375477,-107.23507131955607,-1.069768849611896,9916.795785892218,2,equilibrium,1m,1.5621428027127577
