strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,SHORT,2023-01-14 11:42:00-05:00,2023-01-14 11:56:00-05:00,20699.0,20731.76446915,2.618,SL,-85.77738023469753,40.689664059129086,-126.4670442938266,-1.573945216363823,9873.532955706174,2,equilibrium,1m,4.490527997067314
ICT,SHORT,2023-02-11 03:36:00-05:00,2023-02-11 07:54:00-05:00,21694.0,21716.86296915,4.257,SL,-97.32765967154623,69.31704871281934,-166.64470838436557,-1.8918900893134898,9706.88824732181,2,equilibrium,1m,2.5224759071210547
ICT,LONG,2023-03-08 05:08:00-05:00,2023-03-08 05:17:00-05:00,22111.5,22079.68031115,3.278,SL,-104.30494005029601,54.30375503297234,-158.60869508326834,-1.634021006066319,9548.27955223854,2,equilibrium,1m,1.637877176097176
ICT,SHORT,2023-04-27 10:10:00-04:00,2023-04-27 10:18:00-04:00,28949.0,29002.83449345,1.459,SL,-78.54452594354747,31.720642739268953,-110.26516868281642,-1.4837851048188686,9438.014383555725,2,equilibrium,1m,1.6275817802535513
ICT,LONG,2023-07-11 03:02:00-04:00,2023-07-11 03:24:00-04:00,30481.0,30447.470448450003,2.777,SL,-93.1115646543404,63.43309138944011,-156.54465604378052,-1.8491974707358336,9281.469727511943,2,equilibrium,1m,1.3976960084745067
ICT,LONG,2023-07-11 03:41:00-04:00,2023-07-11 06:12:00-04:00,30461.0,30532.0,2.617,TP,185.807,31.9237362,153.88326379999998,1.6581991483602014,9435.352991311944,2,equilibrium,1m,2.002199599560118
ICT,SHORT,2023-10-11 10:35:00-04:00,2023-10-11 11:37:00-04:00,27275.5,27229.0,2.713,TP,126.1545,29.574141700000002,96.5803583,1.023683340282678,9531.933349611943,2,equilibrium,1m,1.3371482796796696
ICT,SHORT,2023-10-17 09:55:00-04:00,2023-10-17 10:17:00-04:00,28457.0,28492.305945699998,2.937,SL,-103.69356252089447,62.740688209386484,-166.43425073028095,-1.745944294609351,9365.499098881663,2,equilibrium,1m,1.6637397171643242
ICT,LONG,2024-01-09 09:34:00-05:00,2024-01-09 09:48:00-05:00,46593.5,46513.75465935,1.247,SL,-99.44243979054873,43.5218775331152,-142.96431732366392,-1.526718100935998,9222.534781557999,1,ote,1m,1.431548669325523
ICT,LONG,2024-01-09 10:11:00-05:00,2024-01-09 10:48:00-05:00,46608.0,46540.7374608,1.473,SL,-99.07772024159597,51.435695253867124,-150.5134154954631,-1.632084474882395,9072.021366062536,1,ote,1m,1.485433171479679
ICT,LONG,2024-01-10 05:34:00-05:00,2024-01-10 07:10:00-05:00,45953.0,45882.4582953,1.376,SL,-97.06538566720135,47.37011003788304,-144.43549570508438,-1.5915524200933067,8927.585870357452,1,ote,1m,2.062074507603858
ICT,SHORT,2024-01-15 03:10:00-05:00,2024-01-15 03:23:00-05:00,42418.5,42486.66674185,1.397,SL,-95.22893836445016,44.49635929110045,-139.7252976555506,-1.564775590134593,8787.860572701902,2,equilibrium,1m,1.3063510564234189
ICT,LONG,2024-02-21 09:34:00-05:00,2024-02-21 09:39:00-05:00,51411.0,51353.4531411,1.677,SL,-96.50608237530184,64.60910690469359,-161.11518927999543,-1.8330781348878287,8626.745383421907,1,ote,1m,1.4119173455953886
ICT,SHORT,2024-02-24 05:13:00-05:00,2024-02-24 05:21:00-05:00,50921.0,50992.0196921,1.309,SL,-92.96477695890317,50.0428223773274,-143.00759933623056,-1.6572792119454187,8483.737784085677,2,equilibrium,1m,1.3956098966944839
ICT,LONG,2024-03-05 05:32:00-05:00,2024-03-05 05:39:00-05:00,66714.0,66512.6340714,0.436,SL,-87.79554486960167,21.76719045032172,-109.56273531992339,-1.290562965884654,8374.175048765754,2,equilibrium,1m,2.151874030629459
ICT,SHORT,2024-04-18 09:52:00-04:00,2024-04-18 09:59:00-04:00,61554.5,61648.71875545,0.951,SL,-89.60203643294794,43.95302824503812,-133.55506467798605,-1.5948810198853882,8240.619984087767,2,equilibrium,1m,2.799402642681573
ICT,LONG,2024-05-02 03:07:00-04:00,2024-05-02 03:12:00-04:00,57479.0,57412.7721486,1.221,SL,-80.86420655939885,52.59191893639233,-133.45612549579118,-1.8070409033782067,8107.163858591975,1,ote,1m,1.3928814865305985
ICT,LONG,2024-05-02 03:44:00-04:00,2024-05-02 04:50:00-04:00,57418.0,57328.826543999996,0.769,SL,-68.57438766400314,33.0781155867848,-101.65250325078794,-1.5842271164813087,8005.5113553411875,1,ote,1m,1.3277693474961771
ICT,SHORT,2024-06-19 11:17:00-04:00,2024-06-19 11:35:00-04:00,65393.5,65270.0,0.844,TP,104.234,22.055998799999998,82.17800119999998,1.0260692249732775,8087.689356541187,2,equilibrium,1m,1.3014590040413958
ICT,LONG,2024-07-16 10:03:00-04:00,2024-07-16 10:06:00-04:00,63143.0,63259.0,1.187,TP,137.692,30.0078348,107.68416520000001,1.6155213249043163,8195.373521741187,1,ote,1m,1.5259335338566764
ICT,LONG,2024-07-16 10:12:00-04:00,2024-07-16 10:35:00-04:00,63310.0,63452.0,0.771,TP,109.482,19.546700400000002,89.9352996,1.1182567681570876,8285.308821341187,1,ote,1m,1.3168786214162327
ICT,SHORT,2024-08-16 05:02:00-04:00,2024-08-16 05:24:00-04:00,58290.0,58134.0,1.1,TP,171.60000000000002,25.613280000000003,145.98672000000002,1.7627201487581148,8431.295541341187,2,equilibrium,1m,2.071988311860781
ICT,SHORT,2024-08-16 06:06:00-04:00,2024-08-16 06:19:00-04:00,58261.0,58344.0948261,1.091,SL,-90.65645527510134,47.721924300401305,-138.37837957550263,-1.6416598057798697,8292.917161765685,2,equilibrium,1m,1.6437788793829007
ICT,LONG,2024-09-23 04:13:00-04:00,2024-09-23 04:17:00-04:00,63409.5,63330.25684095,1.137,SL,-90.09947183984796,54.022896415488084,-144.12236825533603,-1.7385484787650163,8148.794793510348,2,equilibrium,1m,2.256221754366666
ICT,SHORT,2024-11-14 05:13:00-05:00,2024-11-14 05:37:00-05:00,91414.0,91019.0,0.553,TP,218.43500000000003,20.1770898,198.25791020000003,2.4320173117884973,8347.05270371035,2,equilibrium,1m,2.6795284030009934
ICT,SHORT,2024-11-20 03:13:00-05:00,2024-11-20 03:18:00-05:00,93017.0,93162.33230170001,0.614,SL,-89.23403324380462,42.88340721828409,-132.1174404620887,-1.5819712570188378,8214.93526324826,2,equilibrium,1m,1.3307160134394271
ICT,SHORT,2024-11-20 03:24:00-05:00,2024-11-20 03:41:00-05:00,93120.0,93254.4335109,0.604,SL,-81.1978405835969,42.228018812320975,-123.42585939591788,-1.6333553088186716,8091.509403852343,1,ote,1m,2.0057453952347495
ICT,SHORT,2024-11-20 04:58:00-05:00,2024-11-20 05:06:00-05:00,93147.5,93321.47871475,0.491,SL,-85.42354894225139,34.34854982691824,-119.77209876916963,-1.4815592586775133,7971.737305083173,1,ote,1m,1.8919206182905168
ICT,SHORT,2024-12-06 04:23:00-05:00,2024-12-06 04:26:00-05:00,98408.0,98200.0,0.523,TP,108.784,20.565196800000002,88.21880320000001,1.1067555508897475,8059.956108283173,2,equilibrium,1m,1.3647577554984365
ICT,SHORT,2024-12-19 05:41:00-05:00,2024-12-19 05:48:00-05:00,102348.0,102518.5988348,0.503,SL,-85.81121390439775,38.65797916764742,-124.46919307204517,-1.5432288781845636,7935.486915211128,2,equilibrium,1m,1.5591089380597383
ICT,SHORT,2025-03-11 05:00:00-04:00,2025-03-11 05:01:00-04:00,81147.0,81282.27441469999,0.624,SL,-84.41123477279395,38.023222179125035,-122.43445695191899,-1.543167087135989,7813.052458259209,2,equilibrium,1m,2.815638591551573
ICT,SHORT,2025-05-22 09:41:00-04:00,2025-05-22 10:03:00-04:00,111418.0,110857.0,0.258,TP,144.738,11.46939,133.26861,2.014826112055895,7946.321068259209,1,ote,1m,1.7032000317489544
ICT,SHORT,2025-05-22 10:34:00-04:00,2025-05-22 10:36:00-04:00,111284.0,110965.0,0.353,TP,112.607,15.690779399999998,96.91622059999999,1.305709353257017,8043.237288859209,2,equilibrium,1m,1.3494977116247673
ICT,SHORT,2025-05-22 12:00:00-04:00,2025-05-22 12:12:00-04:00,111328.0,111542.47863255,0.391,SL,-83.86114532705105,32.69305962992988,-116.55420495698093,-1.46608564001021,7926.683083902228,1,ote,1m,1.7514836597019756
ICT,SHORT,2025-06-06 04:56:00-04:00,2025-06-06 05:20:00-04:00,103620.0,103746.993662,0.68,SL,-86.35569015999558,52.893695629588,-139.24938578958358,-1.755946737387255,7787.433698112644,2,equilibrium,1m,1.8092951466301528
ICT,SHORT,2025-06-23 03:00:00-04:00,2025-06-23 03:10:00-04:00,101989.0,102170.2049989,0.455,SL,-82.44827449949699,34.84909280097473,-117.29736730047172,-1.507678339831137,7670.136330812173,1,deep_discount,1m,2.0176736515214264
ICT,SHORT,2025-06-23 03:13:00-04:00,2025-06-23 05:23:00-04:00,102031.5,101644.0,0.282,TP,109.27499999999999,11.487298199999998,97.7877018,1.277070616116375,7767.924032612173,1,deep_discount,1m,1.4270904112414353
ICT,LONG,2025-06-30 09:30:00-04:00,2025-06-30 09:33:00-04:00,107835.5,107680.39538355,0.538,SL,-83.44628365010018,43.46572879399245,-126.91201244409262,-1.6343583796844927,7641.01202016808,1,ote,1m,1.326769921467682
ICT,LONG,2025-08-11 09:49:00-04:00,2025-08-11 09:50:00-04:00,120171.0,119932.8345171,0.338,SL,-80.4999332202012,30.419073536728895,-110.91900675693009,-1.4509496879989279,7530.09301341115,2,equilibrium,1m,1.4413872689248266
ICT,LONG,2025-09-30 05:43:00-04:00,2025-09-30 05:46:00-04:00,113048.0,112878.65600550002,0.456,SL,-77.22086149199296,38.61994452617941,-115.84080601817237,-1.6072687058493613,7414.252207392978,2,equilibrium,1m,1.332889036987727
ICT,LONG,2025-10-05 05:51:00-04:00,2025-10-05 06:03:00-04:00,123189.5,122863.52291895001,0.236,SL,-76.93059112779773,21.76222967487971,-98.69282080267743,-1.3331333011000432,7315.5593865903,2,equilibrium,1m,1.6815991609537826
ICT,LONG,2025-10-05 09:30:00-04:00,2025-10-05 09:52:00-04:00,123331.0,123187.34903309999,0.557,SL,-80.01358856330441,51.47751777629019,-131.49110633959458,-1.7975208356610612,7184.068280250705,2,equilibrium,1m,2.9391385126130434
