strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,SHORT,2023-01-14 11:45:00-05:00,2023-01-14 11:55:00-05:00,20702.0,20726.7684696,3.485,SL,-86.31811655599881,54.1573274641058,-140.47544402010462,-1.7760218654511728,9859.524555979895,2,equilibrium,1m,6.1332589908001305
ICT,SHORT,2023-01-14 11:57:00-05:00,2023-01-14 12:31:00-05:00,20732.0,20748.7826708,2.547,SL,-42.74546252759828,39.626813004390186,-82.37227553198846,-2.198864649778497,9777.152280447906,2,equilibrium,1m,4.856877131342519
ICT,SHORT,2023-02-11 03:39:00-05:00,2023-02-11 07:54:00-05:00,21688.0,21714.8592688,3.96,SL,-106.36270444799592,64.4718594874464,-170.8345639354423,-1.7474093242807018,9606.317716512463,2,equilibrium,1m,2.227802981205599
ICT,SHORT,2023-03-18 11:08:00-04:00,2023-03-18 11:31:00-04:00,27550.0,27481.0,2.206,TP,152.214,24.2796772,127.9343228,1.33166016073481,9734.252039312463,1,ote,1m,1.5843857634902676
ICT,SHORT,2023-04-27 03:38:00-04:00,2023-04-27 03:48:00-04:00,28982.0,29013.8830982,3.359,SL,-107.09532685379983,73.0718059297696,-180.16713278356943,-1.8507050550000002,9554.084906528893,1,ote,1m,1.5871920502380803
ICT,SHORT,2023-04-27 04:28:00-04:00,2023-04-27 04:32:00-04:00,28979.0,28936.0,3.297,TP,141.77100000000002,38.189151,103.581849,1.0841298871596914,9657.666755528893,1,ote,1m,1.483833120535593
ICT,SHORT,2023-04-27 05:31:00-04:00,2023-04-27 05:32:00-04:00,29200.0,29218.1075186,3.309,SL,-59.91777904740543,72.50005477847608,-132.41783382588153,-2.635155915660981,9525.248921703012,1,ote,1m,2.192832179812125
ICT,LONG,2023-04-28 09:39:00-04:00,2023-04-28 10:02:00-04:00,29222.0,29189.8587222,3.26,SL,-104.78056562800411,71.39016068890459,-176.1707263169087,-1.8492950549999438,9349.078195386104,2,equilibrium,1m,1.57415645746347
ICT,LONG,2023-07-11 03:02:00-04:00,2023-07-11 03:24:00-04:00,30481.0,30449.4717483,3.067,SL,-96.69714796390436,70.06073681861986,-166.7578847825242,-1.9089162364064909,9182.32031060358,2,equilibrium,1m,1.6074533346455309
ICT,LONG,2023-07-11 03:43:00-04:00,2023-07-11 06:12:00-04:00,30457.0,30532.0,2.065,TP,154.875,25.188457,129.686543,1.6327951537841672,9312.00685360358,2,equilibrium,1m,1.5518521017475295
ICT,SHORT,2023-10-11 09:59:00-04:00,2023-10-11 10:01:00-04:00,27280.0,27310.010727999997,3.413,SL,-102.42661466399136,69.8863146380652,-172.31292930205655,-1.8507050549999862,9139.693924301522,2,equilibrium,1m,2.1627565982405614
ICT,SHORT,2023-10-11 10:23:00-04:00,2023-10-11 10:23:00-04:00,27291.0,27307.0044274,3.019,SL,-48.31736632059776,61.82022130147634,-110.13758762207411,-2.748341105549633,9029.556336679449,2,equilibrium,1m,1.7506771487083903
ICT,SHORT,2023-10-11 10:55:00-04:00,2023-10-11 11:37:00-04:00,27280.0,27229.0,2.983,TP,152.133,32.5200694,119.6129306,1.8851111842413986,9149.169267279449,2,equilibrium,1m,1.3874665521455887
ICT,LONG,2023-10-30 03:16:00-04:00,2023-10-30 04:00:00-04:00,34292.0,34248.2808294,2.163,SL,-94.56456600780267,55.5781864886957,-150.14275249649836,-1.7226913450183234,8999.02651478295,2,equilibrium,1m,1.3949969262779034
ICT,SHORT,2023-11-10 11:30:00-05:00,2023-11-10 11:31:00-05:00,37005.0,37045.709200499994,2.432,SL,-99.00477561598551,67.5515726265888,-166.5563482425743,-1.85070505499997,8832.470166540375,1,deep_discount,1m,1.675449263613144
