strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,SHORT,2026-02-01 04:10:00-05:00,2026-02-01 04:37:00-05:00,78698.0,78765.542516675,1.1,SL,-74.29676834250714,64.96671322258838,-139.2634815650955,-2.1218377917210054,9860.736518434904,2,equilibrium,1m,1.9330871374085892
ICT,SHORT,2026-02-07 11:05:00-05:00,2026-02-07 11:05:00-05:00,69598.25,69749.572509825,0.683,SL,-103.35327421047283,35.708547863315765,-139.0618220737886,-1.4105084384840618,9721.674696361115,2,equilibrium,1m,2.8351573365109233
ICT,SHORT,2026-02-07 11:16:00-05:00,2026-02-07 11:36:00-05:00,69678.0,69189.0,0.532,TP,260.148,14.775448800000001,245.3725512,2.5248064901082796,9967.047247561115,2,equilibrium,1m,2.676841217880644
ICT,LONG,2026-03-12 05:14:00-04:00,2026-03-12 05:16:00-04:00,69728.0,69651.3061728,1.429,SL,-109.59547906879575,74.67070648651216,-184.2661855553079,-1.8492950549998832,9782.781062005806,1,ote,1m,1.405461220743404
ICT,LONG,2026-03-17 11:11:00-04:00,2026-03-17 11:22:00-04:00,74185.5,74074.40631855,0.944,SL,-104.87243528880178,52.46565416059116,-157.33808944939295,-1.6074736093782966,9625.442972556413,2,equilibrium,1m,1.4707938911418654
ICT,LONG,2026-03-17 11:24:00-04:00,2026-03-17 11:33:00-04:00,74083.5,73969.51880835001,0.903,SL,-102.92501605994038,50.11644161616703,-153.0414576761074,-1.5901253664459543,9472.401514880306,1,ote,1m,2.387799237217917
ICT,SHORT,2026-03-23 04:09:00-04:00,2026-03-23 04:13:00-04:00,68502.0,68603.3616502,1.002,SL,-101.56437350039315,51.53511340542522,-153.09948690581837,-1.6168324385474833,9319.302027974489,1,ote,1m,1.4497047681531603
ICT,SHORT,2026-06-05 03:43:00-04:00,2026-06-05 03:46:00-04:00,62789.0225,62886.10700440225,1.026,SL,-99.60870151670838,48.370937599584195,-147.97963911629256,-1.5884933011026932,9171.322388858196,2,equilibrium,1m,1.3330081006131067
ICT,SHORT,2026-06-05 04:01:00-04:00,2026-06-05 04:03:00-04:00,63026.17,62882.58,0.963,TP,138.27716999999663,24.25002525,114.02714474999664,1.2430507126204613,9285.349533608192,2,equilibrium,1m,1.5074089163987556
ICT,SHORT,2026-06-26 11:17:00-04:00,2026-06-26 11:20:00-04:00,59834.9625,59918.436206996244,1.198,SL,-100.00150098149909,53.81671463178983,-153.8182156132889,-1.6570954931910786,9131.531317994903,1,ote,1m,1.7441688820874517
ICT,SHORT,2026-06-26 11:21:00-04:00,2026-06-26 11:22:00-04:00,59870.134999999995,59958.28536401349,1.111,SL,-97.93505441899616,49.94065426868044,-147.8757086876766,-1.620123294346773,8983.655609307227,1,ote,1m,2.0730901361186156
ICT,SHORT,2026-06-27 03:22:00-04:00,2026-06-27 03:44:00-04:00,60293.73,60365.419668373,1.368,SL,-98.07146633425548,61.91530628648384,-159.98677262073932,-1.781306183070103,8823.668836686487,1,ote,1m,1.351636837694028
ICT,SHORT,2026-06-27 03:55:00-04:00,2026-06-27 04:37:00-04:00,60430.62,60305.74,1.335,TP,166.71480000000622,32.23660812,134.47819188000622,1.6942971867826133,8958.147028566493,1,deep_discount,1m,1.7893895329260303
ICT,SHORT,2026-07-07 11:45:00-04:00,2026-07-07 11:47:00-04:00,63890.130000000005,64002.299720013,0.847,SL,-95.007752851005,40.638459346568055,-135.64621219757305,-1.5141232298665452,8822.50081636892,2,equilibrium,1m,1.9898812642095347
